top-lunch-score,top-prefecture,top-telephone,shop-transportation,shop-addresses,top-overall-score,features-first-reviewer,features-the-homepage,shop-categories,seats-mobile-phone,top-subcategory-two,seats-non-smoking-smoking,shop-budget,top-category,features-remarks,menu-dishes,seats-parking-lot,shop-restaurant-name,menu-drink,shop-operating-hours,features-location,url,shop-cards,features-occasion,top-name,top-night-score,top-budget-lunch,top-comments,seats-number-of-seats,seats-private-use,top-budget-night,menu-all-you-can-drink,top-nearest-station,seats-space-facilities,menu-course,shop-shop-holidays,top-subcategory-one,shop-tel-reservation,seats-private-dining-rooms
-,Saga,"
                  050-5872-5303
                  (+81-50-5872-5303)                ","最寄り駅：JR在来線 佐賀駅。徒歩 10分。佐賀駅より県庁方面へ。『八幡小路』交差点をエスプラッツ方面へ。エスプラッツ斜め前に御座います。 1,160 meters from Saga.",3-22 Chuohonmachi Saga Saga 佐賀県 佐賀市 中央本町 3-22 Show larger map,3.06,麻生太郎似のこうちゃん,http://locoplace.jp/t000509034/,"Sushi, Tempura, Izakaya (Tavern)",docomo、au、SoftBank、Y!mobile,Izakaya (Tavern),Smoking establishment,"Dinner: ￥5,000～￥5,999",Sushi,,"Particular about vegetable,Particular about fish,Health/beauty menu,Vegetarian menu",no (お近くのコインパーキングをご利用下さい。),Nakamuraya (中村屋),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu)","【月～木】18：00～翌2：00【金・土・祝前日】18：00～翌3：00※O.S.30分前 Late night (After 10 PM),Late night (After midnight)","Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410101/41004101/,Available (JCB、AMEX、VISA、MASTER、Diners),"Date,Banquets/party,Alone,With friends/co-workers This occasion is recommended by many people.",Nakamuraya,3.06,,3,24 Seats (カウンター10席、座敷は最大14名まで収容可能。),Available (Up to 20 people、For 20-50 people),"￥5,000～￥5,999","All-you-can-drink,All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Counter,Tatami seats,Horigotatsu seats","Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000)",日曜定休（ご予約があれば営業致します）,Tempura,050-5872-5303 (+81-50-5872-5303) (For reservation only) 0952-23-0654 (+81-952-23-0654) (For inquiry) 予約可,yes For 6 people、For 8 people、For 10-20 people、For 20-30 people (※個室利用可（4～14名様） 店内貸切は20名～24名まで収容可能。)
-,Saga,"
                  050-5593-5846
                  (+81-50-5593-5846)                ","1,199 meters from Saga.",Gofuku Motomachi Saga Saga 佐賀県 佐賀市 呉服元町 3-15 Show larger map,-,,https://www.facebook.com/utage.saga/,"Creative cuisine, Bar, Izakaya (Tavern)",docomo、au、SoftBank,Izakaya (Tavern),Smoking establishment,"Dinner: ￥3,000～￥3,999",Creative cuisine,,Particular about vegetable,no,Barstyle UTAGE (バルstyle UTAGE),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about wines","18:00~3:00 Late night (After 10 PM),Late night (After midnight), Open on sundays",,https://tabelog.com/en/saga/A4101/A410101/41005754/,Available (Diners、VISA、MASTER、JCB、AMEX),,Barstyle UTAGE,-,,0,36 Seats (カウンター席：６席 ),Available (Up to 20 people),"￥3,000～￥3,999",All-you-can-drink,"
                  Saga
                ","Stylish space,Comfortable space,Counter,Tatami seats","Course (¥4,000 - ¥5,000)",火曜日,Bar,050-5593-5846 (+81-50-5593-5846) (For reservation only) 0952-37-8105 (+81-952-37-8105) (For inquiry) 予約可,no
-,Saga,"
                  050-5589-8175
                  (+81-50-5589-8175)                ",長崎自動車道「東脊振IC」から西へ車で10分、ホテル神埼温泉の手前です。,Kanzakimachi Jobaru Kanzaki Saga 佐賀県 神埼市 神埼町城原 3683-5 Show larger map,-,まー0209,http://hitosara.com/0006055096/,"Yakiniku (BBQ Beef), Horumon (BBQ Offel)",docomo、au、SoftBank、Y!mobile,,Sectionalized smoking,"Dinner: ￥3,000～￥3,999 Lunch: ￥1,000～￥1,999",Yakiniku (BBQ Beef),さまざまな集まりにはコース料理がおすすめ。大人数のご宴会はぜひご予約ください。10名用の個室や最大30名ほど入ることができる掘りごたつ席など、人数の集まる宴席にもぜひお使いください。プラス1500円で飲み放題にも対応。予算や料理の内容など、まずはお問い合わせください。,,yes (10台分完備しています。),Nikudokorosenrian (肉処 千里庵),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu)",【月・火・木～日・祝・祝前】ディナー 17:00～22:00 【月・火・木・金・日・祝・祝前】ランチ 11:30～14:00 Lunch,"Beautiful scenery,Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410102/41005645/,Not Available,,Nikudokorosenrian,-,"￥1,000～￥1,999",1,44 Seats,Available (For 20-50 people),"￥3,000～￥3,999",All-you-can-drink,"
                    Kanzaki, Yoshinogari
                ","Stylish space,Comfortable space,Wide seat,Horigotatsu seats","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000),Course (¥8,000 - ¥10,000)",水曜日,Horumon (BBQ Offel),050-5589-8175 (+81-50-5589-8175) (For reservation only) 0952-65-1167 (+81-952-65-1167) (For inquiry) 予約可,yes For 20-30 people (個室あり 掘りごたつあり)
-,Saga,"
                  050-5570-7756
                  (+81-50-5570-7756)                ",JR佐賀駅より徒歩5分佐賀市役所そば大人数のご宴会にて無料バス送迎ありバス送迎については先着受付となります ※要相談 429 meters from Saga.,13-13 Aikeicho Saga Saga 佐賀県 佐賀市 愛敬町 13-13 Show larger map,3.03,PQPQ5777,,"Izakaya (Tavern), Seafood, Tempura",docomo、au、SoftBank、Y!mobile,Tempura,Smoking establishment,"Dinner: ￥4,000～￥4,999",Izakaya (Tavern),,"Particular about vegetable,Particular about fish",yes (専用駐車場3台完備),Roku (禄),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu)","【月～土・祝前日】17：00～24：00【月曜・祝日】17：00～23：00 Late night (After 10 PM), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4101/A410101/41005216/,Available (VISA、MASTER、JCB、AMEX、Diners),"Banquets/party,With friends/co-workers This occasion is recommended by many people.",Roku,3.03,,1,54 Seats (カウンター6席、4名個室×3、6名個室×1、10名個室×3),Available (For 20-50 people),"￥4,000～￥4,999",All-you-can-drink,"
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Counter,Tatami seats,Horigotatsu seats","Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000)",不定休,Seafood,050-5570-7756 (+81-50-5570-7756) (For reservation only) 0952-27-6266 (+81-952-27-6266) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people、For 20-30 people
3.00,Saga,"
                  050-5890-7835
                  (+81-50-5890-7835)                ","国道30号線、片田江信号を北へ30m 1,563 meters from Saga.",3-2-27 Matsubara Saga Saga 佐賀県 佐賀市 松原 3-2-27 Show larger map,3.00,ぷいにゅー★,,"Izakaya (Tavern), Yakitori (Grilled chicken), Motsu Nabe (Offel Hot Pot)",docomo、au、SoftBank、Y!mobile,Motsu Nabe (Offel Hot Pot),Smoking establishment,"Dinner: ￥3,000～￥3,999",Izakaya (Tavern),,Particular about vegetable,yes (３台 満車の場合は、コインパーキング４００円駐車券配布),kuishimboudyayagouchan (くいしんぼ茶屋 豪ちゃん),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails",全日17:30～23:00ラストオーダー 22:30 Late night (After 10 PM),"Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410101/41003402/,Available (VISA、MASTER、JCB),"Banquets/party,Alone,With friends/co-workers This occasion is recommended by many people.",kuishimboudyayagouchan,-,,3,63 Seats (カウンター8席、椅子・テーブル9席、掘りごたつ4～33席),Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000),All-you-can-drink (over 3 hours)","
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Counter,Tatami seats,Horigotatsu seats,Karaoke,Sports TV","All-you-can-eat,Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000)",今年から８月と１２月を除く、日曜日を定休日としました！,Yakitori (Grilled chicken),050-5890-7835 (+81-50-5890-7835) (For reservation only) 0952-60-1148 (+81-952-60-1148) (For inquiry) 予約可 割引サービスのお支払いに、カードでの支払いが出来ません！,yes For 2 people、For 4 people、For 6 people、For 10-20 people、For 20-30 people、Over 30 people (２名様から準個室をご準備できます。ご予約の時にご気軽にお尋ねください！！)
3.05,Saga,"
                  050-5869-7164
                  (+81-50-5869-7164)                ",JR鳥栖駅から徒歩8分 472 meters from Tosu.,704-11 Hondosumachi Tosu Saga 佐賀県 鳥栖市 本鳥栖町 704-11 Show larger map,3.03,枝豆みどり,http://locoplace.jp/t000461239/,"French, Pasta, Izakaya (Tavern)",docomo、au、SoftBank,Izakaya (Tavern),Smoking establishment,"Dinner: ￥3,000～￥3,999 Lunch: ￥1,000～￥1,999",French,,"Particular about vegetable,Particular about fish,Vegetarian menu",yes (2台分の駐車スペースがございます。),voyage (ヴォヤージュ),"Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails","●Lunch● 12:00～15:00（O.S14:30）●Dinner● 18:00～24:00 Lunch,Late night (After 10 PM), Open on sundays","Beautiful scenery,Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410103/41000137/,Not Available,"Date,Banquets/party,With friends/co-workers This occasion is recommended by many people.",voyage,3.00,"￥1,000～￥1,999",8,60 Seats (■1Ｆ：カウンター 8席・座敷14席・テーブル席4席 ■2Ｆ：36席),Available (For 20-50 people、Over 50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Tosu
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Counter,Sofa seats,Tatami seats","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",火曜日,Pasta,050-5869-7164 (+81-50-5869-7164) (For reservation only) 0942-82-3210 (+81-942-82-3210) (For inquiry) 予約可,yes For 20-30 people、Over 30 people (テーブル個室あり(20名～38名様用) ※個室の詳細はお店にお問い合わせください)
-,Saga,"
                  050-5590-5729
                  (+81-50-5590-5729)                ","市営バス【鍋島一丁目】より徒歩2分JR佐賀駅より車で8分JR鍋島駅より車で6分☆TSUTAYAさんの向かい側にございます 1,938 meters from Nabeshima.",Nabeshima Saga Saga 佐賀県 佐賀市 鍋島 1-6-1 Show larger map,-,,,"Izakaya (Tavern), Yakitori (Grilled chicken), Chicken wings",docomo、au、SoftBank、Y!mobile,Chicken wings,Smoking establishment,,Izakaya (Tavern),,,yes (お店の前に10台分ございます),Izakayanomuzou (居酒屋 呑蔵),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","17：30～24：00(LO23：30) Late night (After 10 PM), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4101/A410101/41005753/,Not Available,,Izakayanomuzou,-,,0,41 Seats (【カウンター】11席 【座敷1】2名×1、4名×3 【座敷2】4名×3 【掘り炬燵個室】4名×1),Available (Up to 20 people、For 20-50 people),,"All-you-can-drink (up to ¥3,000),All-you-can-drink (¥3,000 - ¥4,000)","
                  Nabeshima
                ","Wide seat,Counter,Tatami seats,Horigotatsu seats","Course (up to ¥3,000),Course (¥3,000 - ¥4,000)",水曜日,Yakitori (Grilled chicken),050-5590-5729 (+81-50-5590-5729) (For reservation only) 0952-31-9353 (+81-952-31-9353) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people (【掘り炬燵個室】4名×1 【座敷個室】4名テーブル×3 ※個室利用は15名～20名様まで)
3.00,Saga,"
                  050-5571-3189
                  (+81-50-5571-3189)                ",JR佐賀駅より徒歩12分、車で5分JR鍋島駅より車で12分 905 meters from Saga.,1-1-11 Tojin Saga Saga 佐賀県 佐賀市 唐人 1-1-11 Show larger map,3.00,agare,http://www.localplace.jp/t100056567/,"Izakaya (Tavern), Hot Pot (other), Yakitori (Grilled chicken)",docomo、au、SoftBank、Y!mobile,Yakitori (Grilled chicken),Smoking establishment,"Dinner: ￥2,000～￥2,999 The amount of money spent by actual store visitors.",Izakaya (Tavern),※貸切は最大70名まで※週末・祝前日のみ、ご予約のお時間から2時間のお席とさせて頂きます。「鉄鍋ギョーザ」をテイクアウト可【2009年2月17日佐賀市中央本町4より移転】,"Particular about vegetable,Particular about fish",no (隣接の唐人南パーキングをご利用下さい。2時間無料券を差し上げます。),Tsubakishokudou (椿食堂),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","[日～木]18:00～翌3:00[金・土・祝前日]18:00～0:00 Late night (After 10 PM),Late night (After midnight), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4101/A410101/41000397/,Available,With friends/co-workers This occasion is recommended by many people.,Tsubakishokudou,3.00,,4,126 Seats,Available (Over 50 people),"￥2,000～￥2,999","All-you-can-drink,All-you-can-drink (up to ¥3,000),All-you-can-drink (¥3,000 - ¥4,000)","
                  Saga
                ","Stylish space,Wide seat",,不定休,Hot Pot (other),050-5571-3189 (+81-50-5571-3189) (For reservation only) 0952-28-7191 (+81-952-28-7191) (For inquiry) 予約可,yes For 10-20 people
-,Saga,"
                  050-5571-6995
                  (+81-50-5571-6995)                ",【JR佐賀駅】より徒歩13分、車で5分【JR鍋島駅】より車で12分 943 meters from Saga.,2-2-1 Tojin Saga Saga 佐賀県 佐賀市 唐人 2-2-1 唐人プラザビル 1F Show larger map,-,,,"Yakitori (Grilled chicken), Izakaya (Tavern), Pork Shabu Shabu",docomo、au、SoftBank、Y!mobile,Pork Shabu Shabu,Smoking establishment,,Yakitori (Grilled chicken),貸切は80名～応相談,"Particular about vegetable,Particular about fish,Health/beauty menu,Vegetarian menu",no (近隣にコインパーキングあり),Rakan (らかん),,"17：00～0：00 Late night (After 10 PM),Late night (After midnight), Open on sundays",,https://tabelog.com/en/saga/A4101/A410101/41005442/,Not Available,,Rakan,-,,0,100 Seats (4名テーブル×6、掘りごたつ6名×7、座敷6名×4、団体様36名～),Available (Over 50 people),,"All-you-can-drink,All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Tatami seats","Course (¥3,000 - ¥4,000)",不定休,Izakaya (Tavern),050-5571-6995 (+81-50-5571-6995) (For reservation only) 0952-20-5555 (+81-952-20-5555) (For inquiry) 予約可,yes
-,Saga,"
                  050-5592-2488
                  (+81-50-5592-2488)                ","ＪＲ唐津駅よりタクシーで５分。唐津城の西側、西の浜海岸沿いに位置しております。 1,079 meters from Karatsu.",4-3 Higashijonai Karatsu Saga 佐賀県 唐津市 東城内 4-3 Show larger map,-,かつきちくん,http://www.karatsu-chaya.com/,"Kaiseki (Traditional Japanese), Seafood, Japanese food (other)",docomo、au、SoftBank、Y!mobile,Japanese food (other),Sectionalized smoking (店舗外のベランダには喫煙スペースがございます。),"Dinner: ￥3,000～￥3,999 Lunch: ￥2,000～￥2,999",Kaiseki (Traditional Japanese),【Wifi環境整いました】各お部屋のテーブルにPOPを置いております。パスワードを入力し使用下さい♪,Particular about fish,yes (無料の駐車場を完備しています。40～50台),Karatsuchaya (唐津茶屋),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines","[月～金] 11:30～14:00(L.O)15:00まで 17:30～20:30(L.O)22:00まで[土・日・祝] 11:30～20:30(L.O)22:00まで*★*ローカルプレイス*★*http://www.localplace.jp/t100137249/ Lunch, Open on sundays","Beautiful scenery,Ocean view",https://tabelog.com/en/saga/A4102/A410201/41004717/,Not Available,,Karatsuchaya,-,"￥2,000～￥2,999",1,34 Seats (掘りごたつ6人×1席、掘りごたつ4人×3席、お座敷席4人×4),Available (Over 50 people),"￥3,000～￥3,999",All-you-can-drink,"
                  Karatsu
                ","Comfortable space,Wide seat,Tatami seats,Horigotatsu seats","Course (up to ¥3,000),Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000),Course (¥8,000 - ¥10,000),Course (over ¥10,000)",-,Seafood,050-5592-2488 (+81-50-5592-2488) (For reservation only) 0955-72-4617 (+81-955-72-4617) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people (※お座敷席は最大20名様までご利用頂けます。)
-,Saga,"
                  050-5571-6993
                  (+81-50-5571-6993)                ",JR基山駅から徒歩2分 142 meters from Kiyama.,186-21 Miyaura Kiyama Miyaki-gun Saga 佐賀県 三養基郡基山町 宮浦 186-21 Show larger map,3.06,いなやまん,http://www.flat-peace.com/,"Italian, Dining bar, Izakaya (Tavern)",docomo、au、SoftBank、Y!mobile,Izakaya (Tavern),Smoking establishment,"Dinner: ￥4,000～￥4,999 The amount of money spent by actual store visitors.",Italian,【三養基郡基山町宮浦186-10 より移転】,Particular about vegetable,yes (近隣に無料駐車場あり),itariansakabapi-su (イタリアン酒場 PEACE),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about wines,Particular about cocktails","【Lunch】12：00～15：00(LO14：30)※日曜日のランチは予約制でコースのみです。【Dinner】17：30～25：00(Food LO24：00/Drink LO24：30)※土曜日は営業時間を延長しております。 Late night (After 10 PM), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4101/A410103/41003202/,Available,"Banquets/party,Alone,With friends/co-workers This occasion is recommended by many people.",itariansakabapi-su,3.06,,2,43 Seats (カウンター9席、テーブル34席),Available (For 20-50 people),"￥4,000～￥4,999","All-you-can-drink,All-you-can-drink (up to ¥3,000),All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Kiyama
                ","Stylish space,Comfortable space,Couples seats,Counter,Darts","Course (up to ¥3,000),Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",月曜日,Dining bar,050-5571-6993 (+81-50-5571-6993) (For reservation only) 0942-50-8685 (+81-942-50-8685) (For inquiry) 予約可,yes For 2 people (団体様でのご利用時のみ個室貸切としてご利用可能です。)
-,Saga,"
                  050-5592-2044
                  (+81-50-5592-2044)                ",ＪＲ西唐津駅より徒歩10分 682 meters from Nishi Karatsu.,Kaigandori Karatsu Saga 佐賀県 唐津市 海岸通 7182-4 Show larger map,-,麺らー,http://www.localplace.jp/t100133598/photo,"Yakiniku (BBQ Beef), Izakaya (Tavern), Horumon (BBQ Offel)",docomo、au、SoftBank、Y!mobile,Horumon (BBQ Offel),Smoking establishment,"Dinner: ￥4,000～￥4,999",Yakiniku (BBQ Beef),【求人募集】当店で一緒に働いてくれる方を募集してます♪詳細はお店にご連絡下さい★,,yes (7.8台くらい),Ushimaru (牛丸),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails",17:30～22:30（ＬＯ22：00） Open on sundays,House restaurant,https://tabelog.com/en/saga/A4102/A410201/41005758/,Not Available,Banquets/party This occasion is recommended by many people.,Ushimaru,-,,1,32 Seats (3人テーブル×2、4人テーブル×2、座敷６人×2、個室6×1),Available (For 20-50 people),"￥4,000～￥4,999","All-you-can-drink (¥4,000 - ¥5,000)","
                  Nishi Karatsu
                ","Comfortable space,Tatami seats",,木曜,Izakaya (Tavern),050-5592-2044 (+81-50-5592-2044) (For reservation only) 0955-75-2099 (+81-955-75-2099) (For inquiry) 予約可 ※15：００までは携帯へお願いします。090-5479-8122,yes For 4 people、For 6 people、For 8 people (※テーブル席を繋げるとＭＡＸ14名可能。Ｌ字タイプであればＭＡＸ20名までＯＫ。)
-,Saga,"
                  0955-74-0107
                  (+81-955-74-0107)                ",193 meters from Karatsu.,1798 Gofukumachi Karatsu Saga 佐賀県 唐津市 呉服町 1798 Show larger map,3.06,のりっけ,http://r.goope.jp/taishi/,"Seafood, Izakaya (Tavern), Steak",docomo、au、SoftBank、Y!mobile,Steak,Smoking establishment,"Dinner: ￥3,000～￥3,999",Seafood,,Particular about fish,no (近隣のコインパーキングをご利用ください。),Taishi (大志),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines",18：00～23：00(OS.22：00) Open on sundays,Secluded restaurant,https://tabelog.com/en/saga/A4102/A410201/41002868/,Available (VISA、MASTER、JCB、AMEX、Diners),"Date,Banquets/party,With friends/co-workers This occasion is recommended by many people.",Taishi,3.06,,3,40 Seats (堀りごたつ最大宴会人数34名),Available (Up to 20 people、For 20-50 people),"￥3,000～￥3,999",,"
                  Karatsu
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Counter,Horigotatsu seats",,火曜日,Izakaya (Tavern),0955-74-0107 (+81-955-74-0107) 予約可,yes For 8 people、For 10-20 people、For 20-30 people、Over 30 people (カウンター4席、 4名堀りごたつ×5テーブル、12名個室)
3.06,Saga,"
                  050-5869-0430
                  (+81-50-5869-0430)                ","駐車場完備し、皆様のお越しをお待ちしております。 1,722 meters from Hizen Asahi.",1798-1 Makimachi Tosu Saga 佐賀県 鳥栖市 真木町 1798-1 Show larger map,3.06,Figaro,http://hitosara.com/0006005153/,"Indian curry, Buffet style, India cuisine",docomo、au、SoftBank,India cuisine,Non-smoking establishment (全面禁煙とさせていただいております。),"Dinner: ￥1,000～￥1,999 Lunch: ￥1,000～￥1,999",Indian curry,,Health/beauty menu,yes (17台完備),Bisunu (ビスヌ 鳥栖店),"Japanese spirits (Shochu),Wines,Cocktails","【月・水～日・祝・祝前】ランチ 11:00～15:00 (L.O.14:30)【月・水～日・祝・祝前】ディナー 17:00～22:00 (L.O.21:30) Lunch, Open on sundays",House restaurant,https://tabelog.com/en/saga/A4101/A410103/41001530/,Not Available,"With family/kids ,With friends/co-workers This occasion is recommended by many people.",Bisunu,3.00,"￥1,000～￥1,999",39,62 Seats (テーブル席42席、お座敷20席),Available,"￥1,000～￥1,999","All-you-can-drink,All-you-can-drink (up to ¥3,000)","
                  Hizen Asahi
                ","Comfortable space,Wide seat,Tatami seats","All-you-can-eat,Course (up to ¥3,000)",火曜日定休(祝祭日除く),Buffet style,050-5869-0430 (+81-50-5869-0430) (For reservation only) 0942-82-8282 (+81-942-82-8282) (For inquiry) 予約可,no
-,Saga,"
                  050-5571-3192
                  (+81-50-5571-3192)                ","佐賀駅より徒歩15分、車で5分エスプラッツより徒歩10秒！ 1,044 meters from Saga.",2-6-3 Shirayama Saga Saga 佐賀県 佐賀市 白山 2-6-3 コヤスビル 1F Show larger map,-,,http://www.localplace.jp/t100056566/,"Izakaya (Tavern), Yakitori (Grilled chicken), Creative cuisine",docomo、au、SoftBank、Y!mobile,Creative cuisine,Smoking establishment,,Izakaya (Tavern),,Particular about fish,yes (お店前にコインパーキングがございます。),Soubei (そう兵),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","18：00～0：00 Late night (After 10 PM),Late night (After midnight), Open on sundays",Secluded restaurant,https://tabelog.com/en/saga/A4101/A410101/41005386/,Available (VISA、MASTER、JCB、AMEX、Diners),Banquets/party This occasion is recommended by many people.,Soubei,-,,0,58 Seats,Available (Over 50 people),,All-you-can-drink,"
                  Saga
                ","Comfortable space,Wide seat",,不定休,Yakitori (Grilled chicken),050-5571-3192 (+81-50-5571-3192) (For reservation only) 0952-24-4880 (+81-952-24-4880) (For inquiry) 予約可,yes
3.02,Saga,"
                  050-5589-2791
                  (+81-50-5589-2791)                ",JR佐賀駅北口から徒歩1分 75 meters from Saga.,1-13-23 Ekimae Chuo Saga Saga 佐賀県 佐賀市 駅前中央 1-13-23 Show larger map,3.12,あきよろ,http://www.localplace.jp/t100095831/,"Yakitori (Grilled chicken), Izakaya (Tavern)",docomo、SoftBank、au、Y!mobile,,Smoking establishment,"Dinner: ￥3,000～￥3,999 The amount of money spent by actual store visitors.",Yakitori (Grilled chicken),,,yes (10台前後、近隣にコインパーキングあり),Kadoya (かど屋 佐賀駅北口店),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","18:00～24:00(L.O.23:30) Late night (After 10 PM), Open on sundays",,https://tabelog.com/en/saga/A4101/A410101/41000155/,Available (VISA、JCB、AMEX、Diners、MASTER),"Date,Banquets/party,With friends/co-workers This occasion is recommended by many people.",Kadoya,3.12,,15,60 Seats (テーブル（4名×1）、個室（4名×2、6名×2、6～8名×1）、座敷（4名×3）),Available (Up to 20 people),"￥3,000～￥3,999",All-you-can-drink,"
                  Saga
                ","Comfortable space,Counter,Tatami seats",,不定休,Izakaya (Tavern),050-5589-2791 (+81-50-5589-2791) (For reservation only) 0952-30-4831 (+81-952-30-4831) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people (4名×2、6名×2、6～8名×1)
-,Saga,"
                  050-5590-6720
                  (+81-50-5590-6720)                ",●駅からのアクセスJR筑肥線(西唐津～伊万里) ／ 唐津駅 徒歩5分（380m）JR唐津線 ／ 唐津駅 徒歩5分（380m）JR筑肥線(姪浜～西唐津) ／ 唐津駅 徒歩5分（380m）●バス停からのアクセス昭和自動車 レインボー壱岐号 唐津大手口バスセンター 徒歩1分（45m）昭和自動車 からつ号・よぶこ号 唐津バスセンター 徒歩3分（170m）昭和自動車 からつ号・よぶこ号 アルピノ前 徒歩4分（320m）●ICからのアクセス唐津伊万里道路 唐津IC 車で13分（5.1km）唐津伊万里道路 唐津千々賀山田IC 車で14分（5.4km）唐津伊万里道路 北波多IC 車で20分（8.0km）●空港駐車場からのアクセス佐賀空港駐車場 車で122分（49.4km） 351 meters from Karatsu.,Nakamachi Karatsu Saga 佐賀県 唐津市 中町 1513-5 大越ビル 2F Show larger map,-,kyon0506,http://carnesta.com/,"Steak, Izakaya (Tavern), Italian",docomo、au、SoftBank、Y!mobile,Italian,Smoking establishment (ランチタイムのみ2月より禁煙になります。外には喫煙所ありますのでそちらをご利用下さいませ。),"Dinner: ￥3,000～￥3,999 Lunch: ￥1,000～￥1,999",Steak,☆幹事さん！！誕生日や入社、送別会などの時はお店にお知らせください。イベント等でお店をお探しであれば是非当店へ♡,,no (※『中町の田中駐車場』をご利用時のみ 『3000円以上で1時間』、『5000円以上で2時間の割引券』をご用意しております),Nikudaininguandobarukarunesuta (肉ダイニング＆バルcarnesta),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about wines","◉ランチ 11:00～14:00（L,O）なくなり次第終了！◉平日 18:00～22:00（L,O）◉金土 18:00～23:00（L,O）▼ローカルプレイスhttp://www.localplace.jp/t100114021/ Lunch",,https://tabelog.com/en/saga/A4102/A410201/41005764/,Available (VISA、MASTER、JCB),Banquets/party This occasion is recommended by many people.,Nikudaininguandobarukarunesuta,-,"￥1,000～￥1,999",3,40 Seats (カウンター席 テーブル席),Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥4,000 - ¥5,000)","
                  Karatsu
                ","Stylish space,Comfortable space,Counter",,日曜日(不定休日も御座いますので下記添付のカルネスタHPをご参照くださいませ） ※3連休の祝日の場合は翌日が休みになります,Izakaya (Tavern),050-5590-6720 (+81-50-5590-6720) (For reservation only) 0955-58-8879 (+81-955-58-8879) (For inquiry) 予約可 ※連絡がつながらない場合は携帯へお願いします。090-9077-6794,no
